"parameter","estimate"
"(Intercept)",-0.657624139497677
"identity",0.992623423616453
"reward_1",0.706386942836806
"reward_2",0.264160144965207
"reward_3",0.18014863031758
"probed_identity",0.0791048866175561
"probed_reward",0.045579144196469
"context_rwd",0.174798577255262
"age_z",0.0166088339822326
"identity:age_z",0.276115012812099
"reward_1:age_z",0.0996805364406324
"reward_2:age_z",0.00417148873684678
"reward_3:age_z",0.0176949845889187
"probed_identity:age_z",-0.0399985122949623
"probed_reward:age_z",-0.00885323040564392
"context_rwd:age_z",0.136890085931079
